Country,ExchangeRateAtPPP,Exports,HouseholdExpenditures,Imports,ImprovedSanitation,ImprovedWater,Population,Population15To64,PopulationGrowth,TotalInvestment,Unemployment,Urban,AgeDependencyRatioOld,CellphoneSubscriptions,GovernmentRevenues,GovernmentSpending,HealthExpenditure,IndustrialProduction,InternetUsers
Namibia,0.000475,0.002370,0.001183,0.002591,0.254945,0.878477,0.001587,0.345416,0.311132,0.363173,0.288733,0.312535,0.134149,0.448816,0.001161,0.001055,0.010418,0.050915,0.144792
Nepal,0.002965,0.000401,0.003968,0.002150,0.304396,0.825769,0.020511,0.339112,0.238820,0.497073,0.288733,0.069039,0.200849,0.282564,0.001569,0.001135,0.000221,0.050915,0.138542
Netherlands,0.000046,0.244352,0.027437,0.182885,1.000000,1.000000,0.012339,0.489099,0.155090,0.203211,0.213120,0.814394,0.632026,0.463918,0.064462,0.055484,0.703888,0.040174,0.978750
New Zealand,0.000102,0.017273,0.007109,0.014303,0.684665,1.000000,0.003285,0.486998,0.208373,0.300661,0.187627,0.845591,0.516862,0.429810,0.009344,0.007639,0.228715,0.003290,0.862292
Nicaragua,0.000720,0.001185,0.000464,0.002150,0.473626,0.780381,0.004498,0.400315,0.267364,0.468933,0.188987,0.525397,0.174119,0.456410,0.001533,0.001253,0.003772,0.000554,0.161458
Niger,0.019482,0.000577,0.000947,0.000602,0.000000,0.301611,0.012192,0.000000,0.493815,0.542965,0.288733,0.077824,0.125656,0.144543,0.000625,0.000624,0.000018,0.050915,0.017708
Nigeria,0.006833,0.063062,0.027314,0.013080,0.206374,0.472914,0.124395,0.147360,0.392959,0.360907,0.384092,0.439464,0.117162,0.290415,0.017590,0.017836,0.000194,0.011568,0.395833
North Korea,0.030980,0.037409,0.027314,0.029448,0.800000,0.972182,0.028224,0.566325,0.177926,0.341150,0.288733,0.554792,0.330752,0.017676,0.012805,0.011522,0.000296,0.050915,0.000000
Norway,0.000774,0.037409,0.011264,0.029448,1.000000,1.000000,0.003741,0.479380,0.251189,0.403022,0.098572,0.770808,0.590307,0.475716,0.029909,0.019268,0.062575,0.034643,0.990104
Oman,0.000006,0.022969,0.003578,0.010252,0.962637,0.897511,0.002337,0.693985,1.000000,0.425118,0.288733,0.703683,0.082688,0.639480,0.008919,0.006239,0.279469,0.004116,0.692188
Pakistan,0.002924,0.010841,0.057420,0.015978,0.424176,0.874085,0.134176,0.380877,0.284491,0.165439,0.207342,0.285392,0.164627,0.276858,0.014699,0.018913,0.000254,0.008794,0.113542
Panama,0.000030,0.006410,0.003336,0.007945,0.705495,0.916545,0.002726,0.451011,0.280685,0.463456,0.132563,0.727222,0.267300,0.675176,0.002978,0.002643,0.217654,0.000000,0.446875
Papua New Guinea,0.000110,0.001991,0.000700,0.003033,0.106593,0.117130,0.005137,0.309430,0.330162,0.322002,0.288733,0.015317,0.110667,0.151793,0.001122,0.001086,0.009809,0.050915,0.067708
